municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Coimbatore,E080,Water Pipeline Maintenance Kit,9,2,7,HIGH,3,21,70000,YES
Visakhapatnam,E080,Water Pipeline Maintenance Kit,9,2,7,HIGH,3,21,82000,YES
Nagpur,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,70000,YES
Thane,E080,Water Pipeline Maintenance Kit,9,2,7,HIGH,3,21,76000,YES
Indore,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,75000,YES
Ludhiana,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,62000,YES
Faridabad,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,68000,YES
Asansol,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,56000,YES
Agra,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,53000,YES
Howrah,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,51000,YES
Nashik,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,58000,YES
Aurangabad,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,45000,YES
Srinagar,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,39000,YES
Jabalpur,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,44000,YES
Bhubaneswar,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,42000,YES
Madurai,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,51000,YES
Amritsar,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,46000,YES
Varanasi,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,47000,YES
Vijayawada,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,43000,YES
Guwahati,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,35000,YES
Ranchi,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,38000,YES
Mysuru,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,42000,YES
Raipur,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,41000,YES
Jodhpur,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,41000,YES
Hubli,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,33000,YES
Dehradun,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,36000,YES
Gwalior,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,37000,YES
Siliguri,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,30000,YES
Kochi,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,52000,YES
Udaipur,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,28000,YES
Durgapur,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,27000,YES
Kharagpur,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,17000,YES
Panaji,E080,Water Pipeline Maintenance Kit,8,2,6,HIGH,3,18,22000,YES
Haldia,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,15000,YES
Tirupati,E080,Water Pipeline Maintenance Kit,7,2,5,HIGH,3,15,24000,YES
Malda,E080,Water Pipeline Maintenance Kit,6,2,4,MEDIUM,3,12,14000,YES
Shimla,E080,Water Pipeline Maintenance Kit,6,2,4,MEDIUM,3,12,16000,YES
Delhi,E081,Hydraulic Excavator,20,3,17,HIGH,38,646,650000,YES
Mumbai,E081,Hydraulic Excavator,16,3,13,HIGH,38,494,500000,YES
Bengaluru,E081,Hydraulic Excavator,15,3,12,HIGH,38,456,320000,YES
Chennai,E081,Hydraulic Excavator,13,2,11,HIGH,38,418,310000,YES
Hyderabad,E081,Hydraulic Excavator,12,2,10,HIGH,38,380,280000,YES
Ahmedabad,E081,Hydraulic Excavator,10,2,8,HIGH,38,304,230000,YES
Kolkata,E081,Hydraulic Excavator,10,2,8,HIGH,38,304,210000,YES
Surat,E081,Hydraulic Excavator,8,2,6,HIGH,38,228,140000,YES
Pune,E081,Hydraulic Excavator,7,2,5,HIGH,38,190,120000,YES
Jaipur,E081,Hydraulic Excavator,6,2,4,MEDIUM,38,152,98000,YES
Lucknow,E081,Hydraulic Excavator,6,2,4,MEDIUM,38,152,95000,YES
Kanpur,E081,Hydraulic Excavator,5,2,3,MEDIUM,38,114,85000,YES
Indore,E081,Hydraulic Excavator,5,2,3,MEDIUM,38,114,75000,YES
Visakhapatnam,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,82000,YES
Thane,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,76000,YES
Coimbatore,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,70000,YES
Nagpur,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,70000,YES
Ludhiana,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,62000,YES
Faridabad,E081,Hydraulic Excavator,4,2,2,MEDIUM,38,76,68000,YES
Nashik,E081,Hydraulic Excavator,3,2,1,LOW,38,38,58000,YES
Patna,E081,Hydraulic Excavator,4,1,3,HIGH,38,114,52000,YES
Asansol,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,56000,YES
Howrah,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,51000,YES
Raipur,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,41000,YES
Aurangabad,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,45000,YES
Agra,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,53000,YES
Madurai,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,51000,YES
Amritsar,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,46000,YES
Kochi,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,52000,YES
Durgapur,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,27000,YES
Bhubaneswar,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,42000,YES
Ranchi,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,38000,YES
Jabalpur,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,44000,YES
Varanasi,E081,Hydraulic Excavator,3,1,2,MEDIUM,38,76,47000,YES
Vijayawada,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,43000,YES
Mysuru,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,42000,YES
Hubli,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,33000,YES
Gwalior,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,37000,YES
Jodhpur,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,41000,YES
Dehradun,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,36000,YES
Guwahati,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,35000,YES
Srinagar,E081,Hydraulic Excavator,2,1,1,MEDIUM,38,38,39000,YES
Haldia,E081,Hydraulic Excavator,1,1,0,LOW,38,0,15000,YES
Siliguri,E081,Hydraulic Excavator,1,1,0,LOW,38,0,30000,YES
Udaipur,E081,Hydraulic Excavator,1,1,0,LOW,38,0,28000,YES
Kharagpur,E081,Hydraulic Excavator,1,1,0,LOW,38,0,17000,YES
Panaji,E081,Hydraulic Excavator,1,1,0,LOW,38,0,22000,YES
Tirupati,E081,Hydraulic Excavator,1,1,0,LOW,38,0,24000,YES
Malda,E081,Hydraulic Excavator,1,1,0,LOW,38,0,14000,YES
Shimla,E081,Hydraulic Excavator,1,1,0,LOW,38,0,16000,YES
Delhi,E082,Mini Excavator,20,1,19,HIGH,22,418,650000,YES
Mumbai,E082,Mini Excavator,15,1,14,HIGH,22,308,500000,YES
Bengaluru,E082,Mini Excavator,13,1,12,HIGH,22,264,320000,YES
Chennai,E082,Mini Excavator,11,1,10,HIGH,22,220,310000,YES
Hyderabad,E082,Mini Excavator,10,1,9,HIGH,22,198,280000,YES
Ahmedabad,E082,Mini Excavator,9,1,8,HIGH,22,176,230000,YES
Kolkata,E082,Mini Excavator,9,1,8,HIGH,22,176,210000,YES
Surat,E082,Mini Excavator,7,1,6,HIGH,22,132,140000,YES
Pune,E082,Mini Excavator,7,1,6,HIGH,22,132,120000,YES
Jaipur,E082,Mini Excavator,5,1,4,HIGH,22,88,98000,YES
Kanpur,E082,Mini Excavator,5,1,4,HIGH,22,88,85000,YES
Lucknow,E082,Mini Excavator,5,1,4,HIGH,22,88,95000,YES
Visakhapatnam,E082,Mini Excavator,4,1,3,HIGH,22,66,82000,YES
Indore,E082,Mini Excavator,4,1,3,HIGH,22,66,75000,YES
Thane,E082,Mini Excavator,4,1,3,HIGH,22,66,76000,YES
Coimbatore,E082,Mini Excavator,4,1,3,HIGH,22,66,70000,YES
Nagpur,E082,Mini Excavator,4,1,3,HIGH,22,66,70000,YES
Ludhiana,E082,Mini Excavator,3,1,2,MEDIUM,22,44,62000,YES
Faridabad,E082,Mini Excavator,3,1,2,MEDIUM,22,44,68000,YES
Nashik,E082,Mini Excavator,3,1,2,MEDIUM,22,44,58000,YES
Asansol,E082,Mini Excavator,2,1,1,MEDIUM,22,22,56000,YES
Patna,E082,Mini Excavator,3,1,2,MEDIUM,22,44,52000,YES
Raipur,E082,Mini Excavator,2,1,1,MEDIUM,22,22,41000,YES
Howrah,E082,Mini Excavator,2,1,1,MEDIUM,22,22,51000,YES
Agra,E082,Mini Excavator,3,1,2,MEDIUM,22,44,53000,YES
Madurai,E082,Mini Excavator,3,1,2,MEDIUM,22,44,51000,YES
Aurangabad,E082,Mini Excavator,2,1,1,MEDIUM,22,22,45000,YES
Jabalpur,E082,Mini Excavator,2,1,1,MEDIUM,22,22,44000,YES
Ranchi,E082,Mini Excavator,2,1,1,MEDIUM,22,22,38000,YES
Varanasi,E082,Mini Excavator,3,1,2,MEDIUM,22,44,47000,YES
Amritsar,E082,Mini Excavator,2,1,1,MEDIUM,22,22,46000,YES
Kochi,E082,Mini Excavator,2,1,1,MEDIUM,22,22,52000,YES
Vijayawada,E082,Mini Excavator,2,1,1,MEDIUM,22,22,43000,YES
Durgapur,E082,Mini Excavator,1,1,0,LOW,22,0,27000,YES
Bhubaneswar,E082,Mini Excavator,2,1,1,MEDIUM,22,22,42000,YES
Mysuru,E082,Mini Excavator,2,1,1,MEDIUM,22,22,42000,YES
Hubli,E082,Mini Excavator,2,1,1,MEDIUM,22,22,33000,YES
Gwalior,E082,Mini Excavator,2,1,1,MEDIUM,22,22,37000,YES
Jodhpur,E082,Mini Excavator,2,1,1,MEDIUM,22,22,41000,YES
Dehradun,E082,Mini Excavator,2,1,1,MEDIUM,22,22,36000,YES
Guwahati,E082,Mini Excavator,2,1,1,MEDIUM,22,22,35000,YES
Srinagar,E082,Mini Excavator,2,1,1,MEDIUM,22,22,39000,YES
Haldia,E082,Mini Excavator,1,1,0,LOW,22,0,15000,YES
Siliguri,E082,Mini Excavator,1,1,0,LOW,22,0,30000,YES
Udaipur,E082,Mini Excavator,1,1,0,LOW,22,0,28000,YES
Kharagpur,E082,Mini Excavator,1,1,0,LOW,22,0,17000,YES
Panaji,E082,Mini Excavator,1,1,0,LOW,22,0,22000,YES
Tirupati,E082,Mini Excavator,1,1,0,LOW,22,0,24000,YES
Malda,E082,Mini Excavator,1,0,1,HIGH,22,22,14000,YES
Shimla,E082,Mini Excavator,1,0,1,HIGH,22,22,16000,YES
Delhi,E083,Backhoe Loader,20,2,18,HIGH,32,576,650000,YES
Mumbai,E083,Backhoe Loader,20,2,18,HIGH,32,576,500000,YES
Bengaluru,E083,Backhoe Loader,20,2,18,HIGH,32,576,320000,YES
Chennai,E083,Backhoe Loader,20,2,18,HIGH,32,576,310000,YES
Hyderabad,E083,Backhoe Loader,20,2,18,HIGH,32,576,280000,YES
Ahmedabad,E083,Backhoe Loader,19,2,17,HIGH,32,544,230000,YES
Kolkata,E083,Backhoe Loader,20,2,18,HIGH,32,576,210000,YES
Surat,E083,Backhoe Loader,16,2,14,HIGH,32,448,140000,YES
Pune,E083,Backhoe Loader,16,2,14,HIGH,32,448,120000,YES
Jaipur,E083,Backhoe Loader,14,2,12,HIGH,32,384,98000,YES
Lucknow,E083,Backhoe Loader,13,1,12,HIGH,32,384,95000,YES
Kanpur,E083,Backhoe Loader,12,1,11,HIGH,32,352,85000,YES
Indore,E083,Backhoe Loader,13,1,12,HIGH,32,384,75000,YES
Visakhapatnam,E083,Backhoe Loader,13,1,12,HIGH,32,384,82000,YES
Coimbatore,E083,Backhoe Loader,13,1,12,HIGH,32,384,70000,YES
Thane,E083,Backhoe Loader,13,1,12,HIGH,32,384,76000,YES
Nagpur,E083,Backhoe Loader,12,1,11,HIGH,32,352,70000,YES
Ludhiana,E083,Backhoe Loader,12,1,11,HIGH,32,352,62000,YES
Faridabad,E083,Backhoe Loader,12,1,11,HIGH,32,352,68000,YES
Nashik,E083,Backhoe Loader,11,1,10,HIGH,32,320,58000,YES
Asansol,E083,Backhoe Loader,11,1,10,HIGH,32,320,56000,YES
Patna,E083,Backhoe Loader,10,1,9,HIGH,32,288,52000,YES
Howrah,E083,Backhoe Loader,11,1,10,HIGH,32,320,51000,YES
Raipur,E083,Backhoe Loader,10,1,9,HIGH,32,288,41000,YES
Agra,E083,Backhoe Loader,10,1,9,HIGH,32,288,53000,YES
Aurangabad,E083,Backhoe Loader,10,1,9,HIGH,32,288,45000,YES
Madurai,E083,Backhoe Loader,11,1,10,HIGH,32,320,51000,YES
Kochi,E083,Backhoe Loader,12,1,11,HIGH,32,352,52000,YES
Jabalpur,E083,Backhoe Loader,10,1,9,HIGH,32,288,44000,YES
Durgapur,E083,Backhoe Loader,10,1,9,HIGH,32,288,27000,YES
Ranchi,E083,Backhoe Loader,9,1,8,HIGH,32,256,38000,YES
Amritsar,E083,Backhoe Loader,10,1,9,HIGH,32,288,46000,YES
Bhubaneswar,E083,Backhoe Loader,10,1,9,HIGH,32,288,42000,YES
Vijayawada,E083,Backhoe Loader,10,1,9,HIGH,32,288,43000,YES
Varanasi,E083,Backhoe Loader,9,1,8,HIGH,32,256,47000,YES
Mysuru,E083,Backhoe Loader,10,1,9,HIGH,32,288,42000,YES
Gwalior,E083,Backhoe Loader,9,1,8,HIGH,32,256,37000,YES
Jodhpur,E083,Backhoe Loader,9,1,8,HIGH,32,256,41000,YES
Hubli,E083,Backhoe Loader,8,1,7,HIGH,32,224,33000,YES
Srinagar,E083,Backhoe Loader,9,1,8,HIGH,32,256,39000,YES
Dehradun,E083,Backhoe Loader,9,1,8,HIGH,32,256,36000,YES
Guwahati,E083,Backhoe Loader,9,1,8,HIGH,32,256,35000,YES
Haldia,E083,Backhoe Loader,8,1,7,HIGH,32,224,15000,YES
Siliguri,E083,Backhoe Loader,9,1,8,HIGH,32,256,30000,YES
Udaipur,E083,Backhoe Loader,8,1,7,HIGH,32,224,28000,YES
Kharagpur,E083,Backhoe Loader,7,1,6,HIGH,32,192,17000,YES
Panaji,E083,Backhoe Loader,9,1,8,HIGH,32,256,22000,YES
Tirupati,E083,Backhoe Loader,8,1,7,HIGH,32,224,24000,YES
Shimla,E083,Backhoe Loader,7,1,6,HIGH,32,192,16000,YES
Malda,E083,Backhoe Loader,6,1,5,HIGH,32,160,14000,YES
Delhi,E084,Wheel Loader,20,3,17,HIGH,28,476,650000,YES
Mumbai,E084,Wheel Loader,15,2,13,HIGH,28,364,500000,YES
Bengaluru,E084,Wheel Loader,13,2,11,HIGH,28,308,320000,YES
Chennai,E084,Wheel Loader,11,2,9,HIGH,28,252,310000,YES
Hyderabad,E084,Wheel Loader,10,2,8,HIGH,28,224,280000,YES
Ahmedabad,E084,Wheel Loader,9,2,7,HIGH,28,196,230000,YES
Kolkata,E084,Wheel Loader,9,2,7,HIGH,28,196,210000,YES
Surat,E084,Wheel Loader,7,2,5,HIGH,28,140,140000,YES
Pune,E084,Wheel Loader,7,2,5,HIGH,28,140,120000,YES
Jaipur,E084,Wheel Loader,5,1,4,HIGH,28,112,98000,YES
Kanpur,E084,Wheel Loader,5,1,4,HIGH,28,112,85000,YES
Lucknow,E084,Wheel Loader,5,1,4,HIGH,28,112,95000,YES
Visakhapatnam,E084,Wheel Loader,4,1,3,HIGH,28,84,82000,YES
Indore,E084,Wheel Loader,4,1,3,HIGH,28,84,75000,YES
Thane,E084,Wheel Loader,4,1,3,HIGH,28,84,76000,YES
Coimbatore,E084,Wheel Loader,4,1,3,HIGH,28,84,70000,YES
Nagpur,E084,Wheel Loader,4,1,3,HIGH,28,84,70000,YES
Ludhiana,E084,Wheel Loader,3,1,2,MEDIUM,28,56,62000,YES
Faridabad,E084,Wheel Loader,3,1,2,MEDIUM,28,56,68000,YES
Nashik,E084,Wheel Loader,3,1,2,MEDIUM,28,56,58000,YES
Asansol,E084,Wheel Loader,2,1,1,MEDIUM,28,28,56000,YES
Patna,E084,Wheel Loader,3,1,2,MEDIUM,28,56,52000,YES
Raipur,E084,Wheel Loader,2,1,1,MEDIUM,28,28,41000,YES
Howrah,E084,Wheel Loader,2,1,1,MEDIUM,28,28,51000,YES
Agra,E084,Wheel Loader,3,1,2,MEDIUM,28,56,53000,YES
Madurai,E084,Wheel Loader,3,1,2,MEDIUM,28,56,51000,YES
Aurangabad,E084,Wheel Loader,2,1,1,MEDIUM,28,28,45000,YES
Jabalpur,E084,Wheel Loader,2,1,1,MEDIUM,28,28,44000,YES
Ranchi,E084,Wheel Loader,2,1,1,MEDIUM,28,28,38000,YES
Varanasi,E084,Wheel Loader,3,1,2,MEDIUM,28,56,47000,YES
Amritsar,E084,Wheel Loader,2,1,1,MEDIUM,28,28,46000,YES
Kochi,E084,Wheel Loader,2,1,1,MEDIUM,28,28,52000,YES
Vijayawada,E084,Wheel Loader,2,1,1,MEDIUM,28,28,43000,YES
Durgapur,E084,Wheel Loader,1,1,0,LOW,28,0,27000,YES
Bhubaneswar,E084,Wheel Loader,2,1,1,MEDIUM,28,28,42000,YES
Mysuru,E084,Wheel Loader,2,1,1,MEDIUM,28,28,42000,YES
Hubli,E084,Wheel Loader,2,1,1,MEDIUM,28,28,33000,YES
Gwalior,E084,Wheel Loader,2,1,1,MEDIUM,28,28,37000,YES
Jodhpur,E084,Wheel Loader,2,1,1,MEDIUM,28,28,41000,YES
Dehradun,E084,Wheel Loader,2,1,1,MEDIUM,28,28,36000,YES
Guwahati,E084,Wheel Loader,2,1,1,MEDIUM,28,28,35000,YES
Srinagar,E084,Wheel Loader,2,1,1,MEDIUM,28,28,39000,YES
Haldia,E084,Wheel Loader,1,1,0,LOW,28,0,15000,YES
Siliguri,E084,Wheel Loader,1,1,0,LOW,28,0,30000,YES
Udaipur,E084,Wheel Loader,1,1,0,LOW,28,0,28000,YES
Kharagpur,E084,Wheel Loader,1,1,0,LOW,28,0,17000,YES
Panaji,E084,Wheel Loader,1,1,0,LOW,28,0,22000,YES
Tirupati,E084,Wheel Loader,1,1,0,LOW,28,0,24000,YES
Malda,E084,Wheel Loader,1,1,0,LOW,28,0,14000,YES
Shimla,E084,Wheel Loader,1,1,0,LOW,28,0,16000,YES
Delhi,E085,Track Mounted Excavator,20,2,18,HIGH,55,990,650000,YES
Bengaluru,E085,Track Mounted Excavator,19,2,17,HIGH,55,935,320000,YES
Mumbai,E085,Track Mounted Excavator,20,2,18,HIGH,55,990,500000,YES
Chennai,E085,Track Mounted Excavator,18,1,17,HIGH,55,935,310000,YES
Hyderabad,E085,Track Mounted Excavator,17,1,16,HIGH,55,880,280000,YES
Ahmedabad,E085,Track Mounted Excavator,16,1,15,HIGH,55,825,230000,YES
Kolkata,E085,Track Mounted Excavator,17,1,16,HIGH,55,880,210000,YES
Pune,E085,Track Mounted Excavator,14,1,13,HIGH,55,715,120000,YES
Surat,E085,Track Mounted Excavator,13,1,12,HIGH,55,660,140000,YES
Jaipur,E085,Track Mounted Excavator,12,1,11,HIGH,55,605,98000,YES
Kanpur,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,85000,YES
Visakhapatnam,E085,Track Mounted Excavator,12,1,11,HIGH,55,605,82000,YES
Indore,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,75000,YES
Lucknow,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,95000,YES
Thane,E085,Track Mounted Excavator,12,1,11,HIGH,55,605,76000,YES
Coimbatore,E085,Track Mounted Excavator,12,1,11,HIGH,55,605,70000,YES
Ludhiana,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,62000,YES
Nagpur,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,70000,YES
Faridabad,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,68000,YES
Nashik,E085,Track Mounted Excavator,10,1,9,HIGH,55,495,58000,YES
Asansol,E085,Track Mounted Excavator,10,1,9,HIGH,55,495,56000,YES
Howrah,E085,Track Mounted Excavator,10,1,9,HIGH,55,495,51000,YES
Patna,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,52000,YES
Raipur,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,41000,YES
Aurangabad,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,45000,YES
Agra,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,53000,YES
Madurai,E085,Track Mounted Excavator,10,1,9,HIGH,55,495,51000,YES
Durgapur,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,27000,YES
Kochi,E085,Track Mounted Excavator,11,1,10,HIGH,55,550,52000,YES
Vijayawada,E085,Track Mounted Excavator,10,1,9,HIGH,55,495,43000,YES
Jabalpur,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,44000,YES
Amritsar,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,46000,YES
Ranchi,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,38000,YES
Varanasi,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,47000,YES
Bhubaneswar,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,42000,YES
Mysuru,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,42000,YES
Hubli,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,33000,YES
Gwalior,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,37000,YES
Jodhpur,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,41000,YES
Haldia,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,15000,YES
Guwahati,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,35000,YES
Dehradun,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,36000,YES
Srinagar,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,39000,YES
Siliguri,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,30000,YES
Udaipur,E085,Track Mounted Excavator,8,1,7,HIGH,55,385,28000,YES
Kharagpur,E085,Track Mounted Excavator,7,1,6,HIGH,55,330,17000,YES
Panaji,E085,Track Mounted Excavator,9,1,8,HIGH,55,440,22000,YES
Tirupati,E085,Track Mounted Excavator,7,1,6,HIGH,55,330,24000,YES
Malda,E085,Track Mounted Excavator,6,1,5,HIGH,55,275,14000,YES
Shimla,E085,Track Mounted Excavator,6,1,5,HIGH,55,275,16000,YES
Delhi,E086,Road Roller,20,2,18,HIGH,25,450,650000,YES
Mumbai,E086,Road Roller,15,1,14,HIGH,25,350,500000,YES
Bengaluru,E086,Road Roller,13,1,12,HIGH,25,300,320000,YES
Chennai,E086,Road Roller,11,1,10,HIGH,25,250,310000,YES
Hyderabad,E086,Road Roller,10,1,9,HIGH,25,225,280000,YES
Ahmedabad,E086,Road Roller,9,1,8,HIGH,25,200,230000,YES
Kolkata,E086,Road Roller,9,1,8,HIGH,25,200,210000,YES
Surat,E086,Road Roller,7,1,6,HIGH,25,150,140000,YES
Pune,E086,Road Roller,7,1,6,HIGH,25,150,120000,YES
Jaipur,E086,Road Roller,5,1,4,HIGH,25,100,98000,YES
Lucknow,E086,Road Roller,5,1,4,HIGH,25,100,95000,YES
Kanpur,E086,Road Roller,5,1,4,HIGH,25,100,85000,YES
Indore,E086,Road Roller,4,1,3,HIGH,25,75,75000,YES
Visakhapatnam,E086,Road Roller,4,1,3,HIGH,25,75,82000,YES
Thane,E086,Road Roller,4,1,3,HIGH,25,75,76000,YES
Coimbatore,E086,Road Roller,4,1,3,HIGH,25,75,70000,YES
Nagpur,E086,Road Roller,4,1,3,HIGH,25,75,70000,YES
Ludhiana,E086,Road Roller,3,1,2,MEDIUM,25,50,62000,YES
Faridabad,E086,Road Roller,3,1,2,MEDIUM,25,50,68000,YES
Patna,E086,Road Roller,3,1,2,MEDIUM,25,50,52000,YES
Nashik,E086,Road Roller,3,1,2,MEDIUM,25,50,58000,YES
Agra,E086,Road Roller,3,1,2,MEDIUM,25,50,53000,YES
Madurai,E086,Road Roller,3,1,2,MEDIUM,25,50,51000,YES
Asansol,E086,Road Roller,2,1,1,MEDIUM,25,25,56000,YES
Howrah,E086,Road Roller,2,1,1,MEDIUM,25,25,51000,YES
Varanasi,E086,Road Roller,3,1,2,MEDIUM,25,50,47000,YES
Raipur,E086,Road Roller,2,1,1,MEDIUM,25,25,41000,YES
Aurangabad,E086,Road Roller,2,1,1,MEDIUM,25,25,45000,YES
Amritsar,E086,Road Roller,2,1,1,MEDIUM,25,25,46000,YES
Jabalpur,E086,Road Roller,2,1,1,MEDIUM,25,25,44000,YES
Bhubaneswar,E086,Road Roller,2,1,1,MEDIUM,25,25,42000,YES
Kochi,E086,Road Roller,2,1,1,MEDIUM,25,25,52000,YES
Vijayawada,E086,Road Roller,2,1,1,MEDIUM,25,25,43000,YES
Ranchi,E086,Road Roller,2,1,1,MEDIUM,25,25,38000,YES
Mysuru,E086,Road Roller,2,1,1,MEDIUM,25,25,42000,YES
Jodhpur,E086,Road Roller,2,1,1,MEDIUM,25,25,41000,YES
Gwalior,E086,Road Roller,2,1,1,MEDIUM,25,25,37000,YES
Hubli,E086,Road Roller,2,1,1,MEDIUM,25,25,33000,YES
Srinagar,E086,Road Roller,2,1,1,MEDIUM,25,25,39000,YES
Guwahati,E086,Road Roller,2,1,1,MEDIUM,25,25,35000,YES
Dehradun,E086,Road Roller,2,1,1,MEDIUM,25,25,36000,YES
Durgapur,E086,Road Roller,1,1,0,LOW,25,0,27000,YES
Siliguri,E086,Road Roller,1,1,0,LOW,25,0,30000,YES
Udaipur,E086,Road Roller,1,1,0,LOW,25,0,28000,YES
Haldia,E086,Road Roller,1,1,0,LOW,25,0,15000,YES
Tirupati,E086,Road Roller,1,1,0,LOW,25,0,24000,YES
Kharagpur,E086,Road Roller,1,1,0,LOW,25,0,17000,YES
Panaji,E086,Road Roller,1,1,0,LOW,25,0,22000,YES
Shimla,E086,Road Roller,1,1,0,LOW,25,0,16000,YES
Malda,E086,Road Roller,1,1,0,LOW,25,0,14000,YES
Delhi,E087,Vibratory Road Roller,20,4,16,HIGH,30,480,650000,YES
Mumbai,E087,Vibratory Road Roller,15,3,12,HIGH,30,360,500000,YES
Bengaluru,E087,Vibratory Road Roller,13,3,10,HIGH,30,300,320000,YES
Chennai,E087,Vibratory Road Roller,11,3,8,HIGH,30,240,310000,YES
Hyderabad,E087,Vibratory Road Roller,10,3,7,MEDIUM,30,210,280000,YES
Ahmedabad,E087,Vibratory Road Roller,9,2,7,HIGH,30,210,230000,YES
Kolkata,E087,Vibratory Road Roller,9,2,7,HIGH,30,210,210000,YES
Surat,E087,Vibratory Road Roller,7,2,5,HIGH,30,150,140000,YES
Pune,E087,Vibratory Road Roller,7,2,5,HIGH,30,150,120000,YES
Jaipur,E087,Vibratory Road Roller,5,2,3,MEDIUM,30,90,98000,YES
